Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Verify DK Production,Firefox 53.0,Verify DK Production,2017-05-13 22:46:39,2017-05-13 22:47:11,31.938s,PASSED
,,,,,,
Test Cases/DK Production/Verify Site Up and Runing,Firefox 53.0,Verify Site Up and Runing,2017-05-13 22:46:40,2017-05-13 22:47:11,31.611s,PASSED
openBrowser,Firefox 53.0,,2017-05-13 22:46:41,2017-05-13 22:46:50,9.794s,PASSED
navigateToUrl,Firefox 53.0,,2017-05-13 22:46:50,2017-05-13 22:47:00,9.546s,PASSED
setText,Firefox 53.0,,2017-05-13 22:47:00,2017-05-13 22:47:00,0.363s,PASSED
setText,Firefox 53.0,,2017-05-13 22:47:00,2017-05-13 22:47:01,0.245s,PASSED
click,Firefox 53.0,,2017-05-13 22:47:01,2017-05-13 22:47:11,10.674s,PASSED
